Type Name;Base Type;Value Name;Value;Comment;
;;us_pacific;27;;
;;other;28;;
;;auckland;29;;
;;kathmandu;30;;
;;europe_western_wet;31;;
;;europe_central_cet;32;;
;;europe_eastern_eet;33;;
;;jakarta;34;;
;;perth;35;;
;;adelaide;36;;
;;brisbane;37;;
;;tasmania;38;;
;;iceland;39;;
;;amsterdam;40;;
;;athens;41;;
;;barcelona;42;;
;;berlin;43;;
;;brussels;44;;
;;budapest;45;;
;;copenhagen;46;;
;;dublin;47;;
;;helsinki;48;;
;;lisbon;49;;
;;london;50;;
;;madrid;51;;
;;munich;52;;
;;oslo;53;;
;;paris;54;;
;;prague;55;;
;;reykjavik;56;;
;;rome;57;;
;;stockholm;58;;
;;vienna;59;;
;;warsaw;60;;
;;zurich;61;;
;;quebec;62;;
;;ontario;63;;
;;manitoba;64;;
;;saskatchewan;65;;
;;alberta;66;;
;;british_columbia;67;;
;;boise;68;;
;;boston;69;;
;;chicago;70;;
;;dallas;71;;
;;denver;72;;
;;kansas_city;73;;
;;las_vegas;74;;
;;los_angeles;75;;
;;miami;76;;
;;minneapolis;77;;
;;new_york;78;;
;;new_orleans;79;;
;;phoenix;80;;
;;santa_fe;81;;
;;seattle;82;;
;;washington_dc;83;;
;;us_arizona;84;;
;;chita;85;;
;;ekaterinburg;86;;
;;irkutsk;87;;
;;kaliningrad;88;;
;;krasnoyarsk;89;;
;;novosibirsk;90;;
;;petropavlovsk_kamchatskiy;91;;
;;samara;92;;
;;vladivostok;93;;
;;mexico_central;94;;
;;mexico_mountain;95;;
;;mexico_pacific;96;;
;;cape_town;97;;
;;winkhoek;98;;
;;lagos;99;;
;;riyahd;100;;
;;venezuela;101;;
;;australia_lh;102;;
;;santiago;103;;
;;manual;253;;
;;automatic;254;;
;;;;;
display_measure;enum;;;;
;;metric;0;;
;;statute;1;;
;;;;;
display_heart;enum;;;;
;;bpm;0;;
;;max;1;;
;;reserve;2;;
;;;;;
display_power;enum;;;;
;;watts;0;;
;;percent_ftp;1;;
;;;;;
display_position;enum;;;;
;;degree;0;dd.dddddd                       ;
;;degree_minute;1;dddmm.mmm                       ;
;;degree_minute_second;2;dddmmss                         ;
;;austrian_grid;3;Austrian Grid (BMN)             ;
;;british_grid;4;British National Grid           ;
;;dutch_grid;5;Dutch grid system               ;
;;hungarian_grid;6;Hungarian grid system           ;
;;finnish_grid;7;Finnish grid system Zone3 KKJ27 ;
;;german_grid;8;Gausss Krueger (German)         ;
;;icelandic_grid;9;Icelandic Grid                  ;
;;indonesian_equatorial;10;Indonesian Equatorial LCO       ;
;;indonesian_irian;11;Indonesian Irian LCO            ;
;;indonesian_southern;12;Indonesian Southern LCO         ;
;;india_zone_0;13;India zone 0                    ;
;;india_zone_IA;14;India zone IA                   ;
;;india_zone_IB;15;India zone IB                   ;
;;india_zone_IIA;16;India zone IIA                  ;
;;india_zone_IIB;17;India zone IIB                  ;
;;india_zone_IIIA;18;India zone IIIA                 ;
;;india_zone_IIIB;19;India zone IIIB                 ;
;;india_zone_IVA;20;India zone IVA                  ;
;;india_zone_IVB;21;India zone IVB                  ;
;;irish_transverse;22;Irish Transverse Mercator       ;
;;irish_grid;23;Irish Grid                      ;
;;loran;24;Loran TD                        ;
;;maidenhead_grid;25;Maidenhead grid system          ;
;;mgrs_grid;26;MGRS grid system                ;
;;new_zealand_grid;27;New Zealand grid system         ;
;;new_zealand_transverse;28;New Zealand Transverse Mercator ;
;;qatar_grid;29;Qatar National Grid             ;
;;modified_swedish_grid;30;Modified RT-90 (Sweden)         ;
;;swedish_grid;31;RT-90 (Sweden)                  ;
;;south_african_grid;32;South African Grid              ;
;;swiss_grid;33;Swiss CH-1903 grid              ;
;;taiwan_grid;34;Taiwan Grid                     ;
;;united_states_grid;35;United States National Grid     ;
;;utm_ups_grid;36;UTM/UPS grid system             ;
;;west_malayan;37;West Malayan RSO                ;
;;borneo_rso;38;Borneo RSO;
;;estonian_grid;39;Estonian grid system;
;;latvian_grid;40;Latvian Transverse Mercator;
;;swedish_ref_99_grid;41;Reference Grid 99 TM (Swedish);
;;;;;
sport;enum;;;;
;;generic;0;;
;;running;1;;
;;cycling;2;;
;;transition;3;Mulitsport transition;
;;fitness_equipment;4;;
;;swimming;5;;
;;basketball;6;;
;;soccer;7;;
;;tennis;8;;
;;american_football;9;;
;;training;10;;
;;walking;11;;
;;cross_country_skiing;12;;
;;alpine_skiing;13;;
;;snowboarding;14;;
;;rowing;15;;
;;mountaineering;16;;
;;hiking;17;;
;;multisport;18;;
;;paddling;19;;
;;flying;20;;
;;e_biking;21;;
;;motorcycling;22;;
;;boating;23;;
;;driving;24;;
;;golf;25;;
;;hang_gliding;26;;
;;horseback_riding;27;;
;;hunting;28;;
;;fishing;29;;
;;inline_skating;30;;
;;rock_climbing;31;;
;;sailing;32;;
;;ice_skating;33;;
;;sky_diving;34;;
;;snowshoeing;35;;
;;snowmobiling;36;;
;;stand_up_paddleboarding;37;;
;;surfing;38;;
;;wakeboarding;39;;
;;water_skiing;40;;
;;kayaking;41;;
;;rafting;42;;
;;windsurfing;43;;
;;kitesurfing;44;;
;;all;254;All is for goals only to include all sports.;
;;;;;
sport_bits_0;uint8z;;;Bit field corresponding to sport enum type (1 << sport).;
;;generic;0x01;;
;;running;0x02;;
;;cycling;0x04;;
;;transition;0x08;Mulitsport transition;
;;fitness_equipment;0x10;;
;;swimming;0x20;;
;;basketball;0x40;;
;;soccer;0x80;;
;;;;;
sport_bits_1;uint8z;;;Bit field corresponding to sport enum type (1 << (sport-8)).;
;;tennis;0x01;;
;;american_football;0x02;;
;;training;0x04;;
;;walking;0x08;;
;;cross_country_skiing;0x10;;
;;alpine_skiing;0x20;;
;;snowboarding;0x40;;
;;rowing;0x80;;
;;;;;
sport_bits_2;uint8z;;;Bit field corresponding to sport enum type (1 << (sport-16)).;
;;mountaineering;0x01;;
;;hiking;0x02;;
;;multisport;0x04;;
;;paddling;0x08;;
;;flying;0x10;;
;;e_biking;0x20;;
;;motorcycling;0x40;;
;;boating;0x80;;
;;;;;
sport_bits_3;uint8z;;;Bit field corresponding to sport enum type (1 << (sport-24)).;
;;driving;0x01;;
;;golf;0x02;;
;;hang_gliding;0x04;;
;;horseback_riding;0x08;;
;;hunting;0x10;;
;;fishing;0x20;;
;;inline_skating;0x40;;
;;rock_climbing;0x80;;
;;;;;
sport_bits_4;uint8z;;;Bit field corresponding to sport enum type (1 << (sport-32)).;
;;sailing;0x01;;
;;ice_skating;0x02;;
;;sky_diving;0x04;;
;;snowshoeing;0x08;;
;;snowmobiling;0x10;;
;;stand_up_paddleboarding;0x20;;
;;surfing;0x40;;
;;wakeboarding;0x80;;
;;;;;
sport_bits_5;uint8z;;;Bit field corresponding to sport enum type (1 << (sport-40)).;
;;water_skiing;0x01;;
;;kayaking;0x02;;
;;rafting;0x04;;
;;windsurfing;0x08;;
;;kitesurfing;0x10;;
;;;;;
sub_sport;enum;;;;
;;generic;0;;
;;treadmill;1;Run/Fitness Equipment;
;;street;2;Run;
;;trail;3;Run;
;;track;4;Run;
;;spin;5;Cycling;
;;indoor_cycling;6;Cycling/Fitness Equipment;
;;road;7;Cycling;
;;mountain;8;Cycling;
;;downhill;9;Cycling;
;;recumbent;10;Cycling;
;;cyclocross;11;Cycling;
;;hand_cycling;12;Cycling;
;;track_cycling;13;Cycling;
;;indoor_rowing;14;Fitness Equipment;
;;elliptical;15;Fitness Equipment;
;;stair_climbing;16;Fitness Equipment;
;;lap_swimming;17;Swimming;
;;open_water;18;Swimming;
;;flexibility_training;19;Training;
;;strength_training;20;Training;
;;warm_up;21;Tennis;
;;match;22;Tennis;
;;exercise;23;Tennis;
;;challenge;24;Tennis;
;;indoor_skiing;25;Fitness Equipment;
;;cardio_training;26;Training;
;;indoor_walking;27;Walking/Fitness Equipment;
;;e_bike_fitness;28;E-Biking;
;;bmx;29;Cycling ;
;;casual_walking;30;Walking;
;;speed_walking;31;Walking;
;;bike_to_run_transition;32;Transition;
;;run_to_bike_transition;33;Transition;
;;swim_to_bike_transition;34;Transition;
;;atv;35;Motorcycling;
;;motocross;36;Motorcycling;
;;backcountry;37;Alpine Skiing/Snowboarding;
;;resort;38;Alpine Skiing/Snowboarding;
;;rc_drone;39;Flying;
;;wingsuit;40;Flying;
;;whitewater;41;Kayaking/Rafting;
;;all;254;;
;;;;;
sport_event;enum;;;;
;;uncategorized;0;;
;;geocaching;1;;
;;fitness;2;;
;;recreation;3;;
;;race;4;;
;;special_event;5;;
;;training;6;;
;;transportation;7;;
;;touring;8;;
;;;;;
activity;enum;;;;
;;manual;0;;
;;auto_multi_sport;1;;
;;;;;
intensity;enum;;;;
;;active;0;;
;;rest;1;;
;;warmup;2;;
;;cooldown;3;;
;;;;;
session_trigger;enum;;;;
;;activity_end;0;;
;;manual;1;User changed sport.;
;;auto_multi_sport;2;Auto multi-sport feature is enabled and user pressed lap button to advance session.;
;;fitness_equipment;3;Auto sport change caused by user linking to fitness equipment.;
;;;;;
autolap_trigger;enum;;;;
;;time;0;;
;;distance;1;;
;;position_start;2;;
;;position_lap;3;;
;;position_waypoint;4;;
;;position_marked;5;;
;;off;6;;
;;;;;
lap_trigger;enum;;;;
;;manual;0;;
;;time;1;;
;;distance;2;;
;;position_start;3;;
;;position_lap;4;;
;;position_waypoint;5;;
;;position_marked;6;;
;;session_end;7;;
;;fitness_equipment;8;;
;;;;;
event;enum;;;;
;;timer;0;Group 0.  Start / stop_all;
;;workout;3;start / stop;
;;workout_step;4;Start at beginning of workout.  Stop at end of each step.;
;;power_down;5;stop_all group 0;
;;power_up;6;stop_all group 0;
;;off_course;7;start / stop group 0;
;;session;8;Stop at end of each session.;
;;lap;9;Stop at end of each lap.;
;;course_point;10;marker;
;;battery;11;marker;
;;virtual_partner_pace;12;Group 1. Start at beginning of activity if VP enabled, when VP pace is changed during activity or VP enabled mid activity.  stop_disable when VP disabled.;
;;hr_high_alert;13;Group 0.  Start / stop when in alert condition.;
;;hr_low_alert;14;Group 0.  Start / stop when in alert condition.;
;;speed_high_alert;15;Group 0.  Start / stop when in alert condition.;
;;speed_low_alert;16;Group 0.  Start / stop when in alert condition.;
;;cad_high_alert;17;Group 0.  Start / stop when in alert condition.;
;;cad_low_alert;18;Group 0.  Start / stop when in alert condition.;
;;power_high_alert;19;Group 0.  Start / stop when in alert condition.;
;;power_low_alert;20;Group 0.  Start / stop when in alert condition.;
;;recovery_hr;21;marker;
;;battery_low;22;marker;
;;time_duration_alert;23;Group 1.  Start if enabled mid activity (not required at start of activity). Stop when duration is reached.  stop_disable if disabled.;
;;distance_duration_alert;24;Group 1.  Start if enabled mid activity (not required at start of activity). Stop when duration is reached.  stop_disable if disabled.;
;;calorie_duration_alert;25;Group 1.  Start if enabled mid activity (not required at start of activity). Stop when duration is reached.  stop_disable if disabled.;
;;activity;26;Group 1..  Stop at end of activity.;
;;fitness_equipment;27;marker;
;;length;28;Stop at end of each length.;
;;user_marker;32;marker;
;;sport_point;33;marker;
;;calibration;36;start/stop/marker;
;;front_gear_change;42;marker;
;;rear_gear_change;43;marker;
;;rider_position_change;44;marker;
;;elev_high_alert;45;Group 0.  Start / stop when in alert condition.;
;;elev_low_alert;46;Group 0.  Start / stop when in alert condition.;
;;comm_timeout;47;marker;
;;;;;
event_type;enum;;;;
;;start;0;;
;;stop;1;;
;;consecutive_depreciated;2;;
;;marker;3;;
;;stop_all;4;;
;;begin_depreciated;5;;
;;end_depreciated;6;;
;;end_all_depreciated;7;;
;;stop_disable;8;;
;;stop_disable_all;9;;
;;;;;
timer_trigger;enum;;;timer event data;
;;manual;0;;
;;auto;1;;
;;fitness_equipment;2;;
;;;;;
fitness_equipment_state;enum;;;fitness equipment event data;
;;ready;0;;
;;in_use;1;;
;;paused;2;;
;;unknown;3;lost connection to fitness equipment;
;;;;;
activity_class;enum;;;;
;;level;0x7F;0 to 100;
;;level_max;100;;
;;athlete;0x80;;
;;;;;
hr_zone_calc;enum;;;;
;;custom;0;;
;;percent_max_hr;1;;
;;percent_hrr;2;;
;;;;;
pwr_zone_calc;enum;;;;
;;custom;0;;
;;percent_ftp;1;;
;;;;;
wkt_step_duration;enum;;;;
;;time;0;;
;;distance;1;;
;;hr_less_than;2;;
;;hr_greater_than;3;;
;;calories;4;;
;;open;5;;
;;repeat_until_steps_cmplt;6;;
;;repeat_until_time;7;;
;;repeat_until_distance;8;;
;;repeat_until_calories;9;;
;;repeat_until_hr_less_than;10;;
;;repeat_until_hr_greater_than;11;;
;;repeat_until_power_less_than;12;;
;;repeat_until_power_greater_than;13;;
;;power_less_than;14;;
;;power_greater_than;15;;
;;repetition_time;28;;
;;;;;
wkt_step_target;enum;;;;
;;speed;0;;
;;heart_rate;1;;
;;open;2;;
;;cadence;3;;
;;power;4;;
;;grade;5;;
;;resistance;6;;
;;;;;
goal;enum;;;;
;;time;0;;
;;distance;1;;
;;calories;2;;
;;frequency;3;;
;;steps;4;;
;;;;;
goal_recurrence;enum;;;;
;;off;0;;
;;daily;1;;
;;weekly;2;;
;;monthly;3;;
;;yearly;4;;
;;custom;5;;
;;;;;
schedule;enum;;;;
;;workout;0;;
;;course;1;;
;;;;;
course_point;enum;;;;
;;generic;0;;
;;summit;1;;
;;valley;2;;
;;water;3;;
;;food;4;;
;;danger;5;;
;;left;6;;
;;right;7;;
;;straight;8;;
;;first_aid;9;;
;;fourth_category;10;;
;;third_category;11;;
;;second_category;12;;
;;first_category;13;;
;;hors_category;14;;
;;sprint;15;;
;;left_fork;16;;
;;right_fork;17;;
;;middle_fork;18;;
;;slight_left;19;;
;;sharp_left;20;;
;;slight_right;21;;
;;sharp_right;22;;
;;u_turn;23;;
;;;;;
manufacturer;uint16;;;;
;;garmin;1;;
;;garmin_fr405_antfs;2;Do not use.  Used by FR405 for ANTFS man id.;
;;zephyr;3;;
;;dayton;4;;
;;idt;5;;
;;srm;6;;
;;quarq;7;;
;;ibike;8;;
;;saris;9;;
;;spark_hk;10;;
;;tanita;11;;
;;echowell;12;;
;;dynastream_oem;13;;
;;nautilus;14;;
;;dynastream;15;;
;;timex;16;;
;;metrigear;17;;
;;xelic;18;;
;;beurer;19;;
;;cardiosport;20;;
;;a_and_d;21;;
;;hmm;22;;
;;suunto;23;;
;;thita_elektronik;24;;
;;gpulse;25;;
;;clean_mobile;26;;
;;pedal_brain;27;;
;;peaksware;28;;
;;saxonar;29;;
;;lemond_fitness;30;;
;;dexcom;31;;
;;wahoo_fitness;32;;
;;octane_fitness;33;;
;;archinoetics;34;;
;;the_hurt_box;35;;
;;citizen_systems;36;;
;;magellan;37;;
;;osynce;38;;
;;holux;39;;
;;concept2;40;;
;;one_giant_leap;42;;
;;ace_sensor;43;;
;;brim_brothers;44;;
;;xplova;45;;
;;perception_digital;46;;
;;bf1systems;47;;
;;pioneer;48;;
;;spantec;49;;
;;metalogics;50;;
;;4iiiis;51;;
;;seiko_epson;52;;
;;seiko_epson_oem;53;;
;;ifor_powell;54;;
;;maxwell_guider;55;;
;;star_trac;56;;
;;breakaway;57;;
;;alatech_technology_ltd;58;;
;;mio_technology_europe;59;;
;;rotor;60;;
;;geonaute;61;;
;;id_bike;62;;
;;specialized;63;;
;;wtek;64;;
;;physical_enterprises;65;;
;;north_pole_engineering;66;;
;;bkool;67;;
;;cateye;68;;
;;stages_cycling;69;;
;;sigmasport;70;;
;;tomtom;71;;
;;peripedal;72;;
;;wattbike;73;;
;;moxy;76;;
;;ciclosport;77;;
;;powerbahn;78;;
;;acorn_projects_aps;79;;
;;lifebeam;80;;
;;bontrager;81;;
;;wellgo;82;;
;;scosche;83;;
;;magura;84;;
;;woodway;85;;
;;elite;86;;
;;nielsen_kellerman;87;;
;;dk_city;88;;
;;tacx;89;;
;;direction_technology;90;;
;;magtonic;91;;
;;1partcarbon;92;;
;;inside_ride_technologies;93;;
;;sound_of_motion;94;;
;;stryd;95;;
;;icg;96;Indoorcycling Group;
;;mi_pulse;97;;
;;bsx_athletics;98;;
;;look;99;;
;;development;255;;
;;healthandlife;257;;
;;lezyne;258;;
;;scribe_labs;259;;
;;zwift;260;;
;;watteam;261;;
;;recon;262;;
;;favero_electronics;263;;
;;dynovelo;264;;
;;strava;265;;
;;actigraphcorp;5759;;
;;;;;
garmin_product;uint16;;;;
;;hrm1;1;;
;;axh01;2;AXH01 HRM chipset;
;;axb01;3;;
;;axb02;4;;
;;hrm2ss;5;;
;;dsi_alf02;6;;
;;hrm3ss;7;;
;;hrm_run_single_byte_product_id;8;hrm_run model for HRM ANT+ messaging;
;;bsm;9;BSM model for ANT+ messaging;
;;bcm;10;BCM model for ANT+ messaging;
;;axs01;11;AXS01 HRM Bike Chipset model for ANT+ messaging;
;;hrm_tri_single_byte_product_id;12;hrm_tri model for HRM ANT+ messaging;
;;fr225_single_byte_product_id;14;fr225 model for HRM ANT+ messaging;
;;fr301_china;473;;
;;fr301_japan;474;;
;;fr301_korea;475;;
;;fr301_taiwan;494;;
;;fr405;717;Forerunner 405;
;;fr50;782;Forerunner 50;
;;fr405_japan;987;;
;;fr60;988;Forerunner 60;
;;dsi_alf01;1011;;
;;fr310xt;1018;Forerunner 310;
;;edge500;1036;;
;;fr110;1124;Forerunner 110;
;;edge800;1169;;
;;edge500_taiwan;1199;;
;;edge500_japan;1213;;
;;chirp;1253;;
;;fr110_japan;1274;;
;;edge200;1325;;
;;fr910xt;1328;;
;;edge800_taiwan;1333;;
;;edge800_japan;1334;;
;;alf04;1341;;
;;fr610;1345;;
;;fr210_japan;1360;;
;;vector_ss;1380;;
;;vector_cp;1381;;
;;edge800_china;1386;;
;;edge500_china;1387;;
;;fr610_japan;1410;;
;;edge500_korea;1422;;
;;fr70;1436;;
;;fr310xt_4t;1446;;
;;amx;1461;;
;;fr10;1482;;
;;edge800_korea;1497;;
;;swim;1499;;
;;fr910xt_china;1537;;
;;fenix;1551;;
;;edge200_taiwan;1555;;
;;edge510;1561;;
;;edge810;1567;;
;;tempe;1570;;
;;fr910xt_japan;1600;;
;;fr620;1623;;
;;fr220;1632;;
;;fr910xt_korea;1664;;
;;fr10_japan;1688;;
;;edge810_japan;1721;;
;;virb_elite;1735;;
;;edge_touring;1736;Also Edge Touring Plus;
;;edge510_japan;1742;;
;;hrm_tri;1743;;
;;hrm_run;1752;;
;;fr920xt;1765;;
;;edge510_asia;1821;;
;;edge810_china;1822;;
;;edge810_taiwan;1823;;
;;edge1000;1836;;
;;vivo_fit;1837;;
;;virb_remote;1853;;
;;vivo_ki;1885;;
;;fr15;1903;;
;;vivo_active;1907;;
;;edge510_korea;1918;;
;;fr620_japan;1928;;
;;fr620_china;1929;;
;;fr220_japan;1930;;
;;fr220_china;1931;;
;;approach_s6;1936;;
;;vivo_smart;1956;;
;;fenix2;1967;;
;;epix;1988;;
;;fenix3;2050;;
;;edge1000_taiwan;2052;;
;;edge1000_japan;2053;;
;;fr15_japan;2061;;
;;edge520;2067;;
;;edge1000_china;2070;;
;;fr620_russia;2072;;
;;fr220_russia;2073;;
;;vector_s;2079;;
;;edge1000_korea;2100;;
;;fr920xt_taiwan;2130;;
;;fr920xt_china;2131;;
;;fr920xt_japan;2132;;
;;virbx;2134;;
;;vivo_smart_apac;2135;;
;;etrex_touch;2140;;
;;edge25;2147;;
;;vivo_fit2;2150;;
;;fr225;2153;;
;;vivo_active_apac;2160;;
;;vector_2;2161;;
;;vector_2s;2162;;
;;virbxe;2172;;
;;fr620_taiwan;2173;;
;;fr220_taiwan;2174;;
;;fenix3_china;2188;;
;;fenix3_twn;2189;;
;;varia_headlight;2192;;
;;varia_taillight_old;2193;;
;;fr225_asia;2219;;
;;varia_radar_taillight;2225;;
;;varia_radar_display;2226;;
;;edge20;2238;;
;;d2_bravo;2262;;
;;varia_remote;2276;;
;;sdm4;10007;SDM4 footpod;
;;edge_remote;10014;;
;;training_center;20119;;
;;android_antplus_plugin;65532;;
;;connect;65534;Garmin Connect website;
;;;;;
antplus_device_type;uint8;;;;
;;antfs;1;;
;;bike_power;11;;
;;environment_sensor_legacy;12;;
;;multi_sport_speed_distance;15;;
;;control;16;;
;;fitness_equipment;17;;
;;blood_pressure;18;;
;;geocache_node;19;;
;;light_electric_vehicle;20;;
;;env_sensor;25;;
;;racquet;26;;
;;weight_scale;119;;
;;heart_rate;120;;
;;bike_speed_cadence;121;;
;;bike_cadence;122;;
;;bike_speed;123;;
;;stride_speed_distance;124;;
;;;;;
ant_network;enum;;;;
;;public;0;;
;;antplus;1;;
;;antfs;2;;
;;private;3;;
;;;;;
workout_capabilities;uint32z;;;;
;;interval;0x00000001;;
;;custom;0x00000002;;
;;fitness_equipment;0x00000004;;
;;firstbeat;0x00000008;;
;;new_leaf;0x00000010;;
;;tcx;0x00000020;For backwards compatibility.  Watch should add missing id fields then clear flag.;
;;speed;0x00000080;Speed source required for workout step.;
;;heart_rate;0x00000100;Heart rate source required for workout step.;
;;distance;0x00000200;Distance source required for workout step.;
;;cadence;0x00000400;Cadence source required for workout step.;
;;power;0x00000800;Power source required for workout step.;
;;grade;0x00001000;Grade source required for workout step.;
;;resistance;0x00002000;Resistance source required for workout step.;
;;protected;0x00004000;;
;;;;;
battery_status;uint8;;;;
;;new;1;;
;;good;2;;
;;ok;3;;
;;low;4;;
;;critical;5;;
;;unknown;7;;
;;;;;
hr_type;enum;;;;
;;normal;0;;
;;irregular;1;;
;;;;;
course_capabilities;uint32z;;;;
;;processed;0x00000001;;
;;valid;0x00000002;;
;;time;0x00000004;;
;;distance;0x00000008;;
;;position;0x00000010;;
;;heart_rate;0x00000020;;
;;power;0x00000040;;
;;cadence;0x00000080;;
;;training;0x00000100;;
;;navigation;0x00000200;;
;;bikeway;0x00000400;;
;;;;;
weight;uint16;;;;
;;calculating;0xFFFE;;
;;;;;
workout_hr;uint32;;;"0 - 100 indicates% of maz hr; >100 indicates bpm (255 max) plus 100";
;;bpm_offset;100;;
;;;;;
workout_power;uint32;;;"0 - 1000 indicates % of functional threshold power; >1000 indicates watts plus 1000.";
;;watts_offset;1000;;
;;;;;
bp_status;enum;;;;
;;no_error;0;;
;;error_incomplete_data;1;;
;;error_no_measurement;2;;
;;error_data_out_of_range;3;;
;;error_irregular_heart_rate;4;;
;;;;;
user_local_id;uint16;;;;
;;local_min;0x0000;;
;;local_max;0x000F;;
;;stationary_min;0x0010;;
;;stationary_max;0x00FF;;
;;portable_min;0x0100;;
;;portable_max;0xFFFE;;
;;;;;
swim_stroke;enum;;;;
;;freestyle;0;;
;;backstroke;1;;
;;breaststroke;2;;
;;butterfly;3;;
;;drill;4;;
;;mixed;5;;
;;im;6;IM is a mixed interval containing the same number of lengths for each of: Butterfly, Backstroke, Breaststroke, Freestyle, swam in that order.;
;;;;;
activity_type;enum;;;;
;;generic;0;;
