Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,4,monitoring,steps,"100",steps,timestamp_16,"29412",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,4,monitoring,steps,"315",steps,timestamp_16,"29892",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"30432",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"322",steps,timestamp_16,"30492",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"31032",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"331",steps,timestamp_16,"31092",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"31572",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"352",steps,timestamp_16,"31632",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"31692",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"31812",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"31932",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"31992",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"32112",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"32172",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"32232",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"32292",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"33372",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"33432",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"33672",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Definition,6,event,timestamp,1,,data16,1,,event,1,,event_type,1,,,,,,,,,,,
Data,6,event,timestamp,"788628360",s,data16,"1",,event,"41",,event_type,"3",,data,"1",,,,,,,,
Data,3,monitoring,timestamp_16,"33852",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"368",steps,timestamp_16,"33912",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"34212",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"34272",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"34572",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,6,event,timestamp,"788629260",s,data16,"2",,event,"41",,event_type,"3",,data,"2",,,,,,,,
Data,3,monitoring,timestamp_16,"34752",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"34812",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"34872",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"386",steps,timestamp_16,"34992",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"35172",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"35232",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"35292",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,4,monitoring,steps,"393",steps,timestamp_16,"35352",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"35472",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,6,event,timestamp,"788630160",s,data16,"3",,event,"41",,event_type,"3",,data,"3",,,,,,,,
Data,3,monitoring,timestamp_16,"35532",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"35592",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"36132",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,4,monitoring,steps,"410",steps,timestamp_16,"36192",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"36252",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"417",steps,timestamp_16,"36312",s,current_activity_type_intensity,"6",,activity_type,"6",,intensity,"0.0",,,,,,,,
Data,3,monitoring,timestamp_16,"36372",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,6,event,timestamp,"788631060",s,data16,"4",,event,"41",,event_type,"3",,data,"4",,,,,,,,
Data,4,monitoring,steps,"424",steps,timestamp_16,"36432",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"36552",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"437",steps,timestamp_16,"36612",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"36912",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"37032",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"37272",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,6,event,timestamp,"788631960",s,data16,"5",,event,"41",,event_type,"3",,data,"5",,,,,,,,
Data,3,monitoring,timestamp_16,"37872",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"31",steps,timestamp_16,"37932",s,current_activity_type_intensity,"161",,activity_type,"1",,intensity,"5.0",,,,,,,,
Data,4,monitoring,steps,"667",steps,timestamp_16,"38232",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"38772",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"38832",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"39132",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"39192",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"40152",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"40212",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"40512",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"700",steps,timestamp_16,"40572",s,current_activity_type_intensity,"134",,activity_type,"6",,intensity,"4.0",,,,,,,,
Data,3,monitoring,timestamp_16,"40932",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"735",steps,timestamp_16,"41052",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"41232",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,
Data,4,monitoring,steps,"753",steps,timestamp_16,"41352",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"41892",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"783",steps,timestamp_16,"41952",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"42792",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"812",steps,timestamp_16,"42912",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"43032",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"821",steps,timestamp_16,"43092",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"43152",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,
Data,4,monitoring,steps,"883",steps,timestamp_16,"43212",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"43272",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,
Data,4,monitoring,steps,"906",steps,timestamp_16,"43332",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"43392",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,
Data,4,monitoring,steps,"1120",steps,timestamp_16,"43632",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"43633",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,
Data,6,event,timestamp,"788638321",s,data16,"256",,event,"41",,event_type,"3",,data,"256",,,,,,,,
Data,4,monitoring,steps,"1202",steps,timestamp_16,"43812",s,current_activity_type_intensity,"134",,activity_type,"6",,intensity,"4.0",,,,,,,,
Data,4,monitoring,steps,"1246",steps,timestamp_16,"43932",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"44412",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,
Data,4,monitoring,steps,"1309",steps,timestamp_16,"44592",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"45492",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"45552",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"46692",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"46752",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"46932",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"47112",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"47172",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"47232",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"47352",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"47472",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,4,monitoring,steps,"1368",steps,timestamp_16,"47712",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"48072",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,6,event,timestamp,"788642760",s,data16,"1",,event,"41",,event_type,"3",,data,"1",,,,,,,,
Data,3,monitoring,timestamp_16,"48132",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"48252",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"48432",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"1429",steps,timestamp_16,"48612",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"48672",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,
Data,4,monitoring,steps,"1486",steps,timestamp_16,"48852",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"48912",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,
Data,4,monitoring,steps,"1510",steps,timestamp_16,"48972",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,6,event,timestamp,"788643660",s,data16,"2",,event,"41",,event_type,"3",,data,"2",,,,,,,,
Data,4,monitoring,steps,"1527",steps,timestamp_16,"49032",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"49212",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"1534",steps,timestamp_16,"49272",s,current_activity_type_intensity,"6",,activity_type,"6",,intensity,"0.0",,,,,,,,
Data,3,monitoring,timestamp_16,"49452",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"1656",steps,timestamp_16,"49564",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,6,event,timestamp,"788644252",s,data16,"256",,event,"41",,event_type,"3",,data,"256",,,,,,,,
Data,4,monitoring,steps,"1685",steps,timestamp_16,"49632",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"49692",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,
Data,4,monitoring,steps,"1703",steps,timestamp_16,"49812",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"49992",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"50112",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"50472",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"1714",steps,timestamp_16,"50532",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"51192",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"51312",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"51432",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"51492",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"51612",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"51732",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,4,monitoring,steps,"1740",steps,timestamp_16,"51852",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"51912",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"51972",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"52032",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"52092",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"52152",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"52332",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"52692",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"52812",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"52932",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"53112",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,6,event,timestamp,"788647800",s,data16,"1",,event,"41",,event_type,"3",,data,"1",,,,,,,,
Data,3,monitoring,timestamp_16,"53412",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"53592",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"53832",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54012",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,6,event,timestamp,"788648700",s,data16,"2",,event,"41",,event_type,"3",,data,"2",,,,,,,,
Data,4,monitoring,steps,"1749",steps,timestamp_16,"54072",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"54192",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54252",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54552",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54612",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54732",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54792",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54852",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"54912",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,6,event,timestamp,"788649600",s,data16,"3",,event,"41",,event_type,"3",,data,"3",,,,,,,,
Data,3,monitoring,timestamp_16,"54972",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55032",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55212",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55272",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55332",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55392",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55572",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55692",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55752",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55812",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,6,event,timestamp,"788650500",s,data16,"4",,event,"41",,event_type,"3",,data,"4",,,,,,,,
Data,3,monitoring,timestamp_16,"55932",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56412",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56472",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56532",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56592",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56712",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,6,event,timestamp,"788651400",s,data16,"5",,event,"41",,event_type,"3",,data,"5",,,,,,,,
Data,3,monitoring,timestamp_16,"56832",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"57252",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"57312",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"57372",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"57672",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"1760",steps,timestamp_16,"57732",s,current_activity_type_intensity,"134",,activity_type,"6",,intensity,"4.0",,,,,,,,
Data,3,monitoring,timestamp_16,"57972",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"58152",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"58272",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"1806",steps,timestamp_16,"58332",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"58392",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"58452",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"58512",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"58572",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"58692",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"59352",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"59412",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"59472",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"59592",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
