Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,
Data,0,record,timestamp,"968191224",s,distance,"20.0",m,speed,"1.0",m/s,heart_rate,"247",bpm,cadence,"20",rpm,power,"150",watts,altitude,"107.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"107.0",m,Heart Rate,"247",bpm,
Data,0,record,timestamp,"968191225",s,distance,"21.0",m,speed,"1.0",m/s,heart_rate,"250",bpm,cadence,"21",rpm,power,"150",watts,altitude,"106.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"106.0",m,Heart Rate,"250",bpm,
Data,0,record,timestamp,"968191226",s,distance,"22.0",m,speed,"1.0",m/s,heart_rate,"251",bpm,cadence,"22",rpm,power,"150",watts,altitude,"105.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"105.0",m,Heart Rate,"251",bpm,
Data,0,record,timestamp,"968191227",s,distance,"23.0",m,speed,"1.0",m/s,heart_rate,"252",bpm,cadence,"23",rpm,power,"150",watts,altitude,"104.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"104.0",m,Heart Rate,"252",bpm,
Data,0,record,timestamp,"968191228",s,distance,"24.0",m,speed,"1.0",m/s,heart_rate,"253",bpm,cadence,"24",rpm,power,"150",watts,altitude,"103.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"103.0",m,Heart Rate,"253",bpm,
Data,0,record,timestamp,"968191229",s,distance,"25.0",m,speed,"1.0",m/s,heart_rate,"254",bpm,cadence,"25",rpm,power,"150",watts,altitude,"102.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"102.0",m,Heart Rate,"254",bpm,
Data,0,record,timestamp,"968191230",s,distance,"26.0",m,speed,"1.0",m/s,heart_rate,"253",bpm,cadence,"26",rpm,power,"150",watts,altitude,"101.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"101.0",m,Heart Rate,"253",bpm,
Data,0,record,timestamp,"968191231",s,distance,"27.0",m,speed,"1.0",m/s,heart_rate,"252",bpm,cadence,"27",rpm,power,"150",watts,altitude,"100.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"100.0",m,Heart Rate,"252",bpm,
Data,0,record,timestamp,"968191232",s,distance,"28.0",m,speed,"1.0",m/s,heart_rate,"251",bpm,cadence,"28",rpm,power,"150",watts,altitude,"99.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"99.0",m,Heart Rate,"251",bpm,
Data,0,record,timestamp,"968191233",s,distance,"29.0",m,speed,"1.0",m/s,heart_rate,"250",bpm,cadence,"29",rpm,power,"150",watts,altitude,"98.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"98.0",m,Heart Rate,"250",bpm,
Data,0,record,timestamp,"968191234",s,distance,"30.0",m,speed,"1.0",m/s,heart_rate,"247",bpm,cadence,"30",rpm,power,"150",watts,altitude,"97.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"97.0",m,Heart Rate,"247",bpm,
Data,0,record,timestamp,"968191235",s,distance,"31.0",m,speed,"1.0",m/s,heart_rate,"245",bpm,cadence,"31",rpm,power,"150",watts,altitude,"96.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"96.0",m,Heart Rate,"245",bpm,
Data,0,record,timestamp,"968191236",s,distance,"32.0",m,speed,"1.0",m/s,heart_rate,"241",bpm,cadence,"32",rpm,power,"150",watts,altitude,"95.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"95.0",m,Heart Rate,"241",bpm,
Data,0,record,timestamp,"968191237",s,distance,"33.0",m,speed,"1.0",m/s,heart_rate,"238",bpm,cadence,"33",rpm,power,"150",watts,altitude,"94.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"94.0",m,Heart Rate,"238",bpm,
Data,0,record,timestamp,"968191238",s,distance,"34.0",m,speed,"1.0",m/s,heart_rate,"234",bpm,cadence,"34",rpm,power,"150",watts,altitude,"93.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"93.0",m,Heart Rate,"234",bpm,
Data,0,record,timestamp,"968191239",s,distance,"35.0",m,speed,"1.0",m/s,heart_rate,"229",bpm,cadence,"35",rpm,power,"150",watts,altitude,"92.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"92.0",m,Heart Rate,"229",bpm,
Data,0,record,timestamp,"968191240",s,distance,"36.0",m,speed,"1.0",m/s,heart_rate,"224",bpm,cadence,"36",rpm,power,"150",watts,altitude,"91.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"91.0",m,Heart Rate,"224",bpm,
Data,0,record,timestamp,"968191241",s,distance,"37.0",m,speed,"1.0",m/s,heart_rate,"219",bpm,cadence,"37",rpm,power,"150",watts,altitude,"90.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"90.0",m,Heart Rate,"219",bpm,
Data,0,record,timestamp,"968191242",s,distance,"38.0",m,speed,"1.0",m/s,heart_rate,"213",bpm,cadence,"38",rpm,power,"150",watts,altitude,"89.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"89.0",m,Heart Rate,"213",bpm,
Data,0,record,timestamp,"968191243",s,distance,"39.0",m,speed,"1.0",m/s,heart_rate,"207",bpm,cadence,"39",rpm,power,"150",watts,altitude,"88.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"88.0",m,Heart Rate,"207",bpm,
Data,0,record,timestamp,"968191244",s,distance,"40.0",m,speed,"1.0",m/s,heart_rate,"201",bpm,cadence,"40",rpm,power,"150",watts,altitude,"87.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"87.0",m,Heart Rate,"201",bpm,
Data,0,record,timestamp,"968191245",s,distance,"41.0",m,speed,"1.0",m/s,heart_rate,"195",bpm,cadence,"41",rpm,power,"150",watts,altitude,"86.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"86.0",m,Heart Rate,"195",bpm,
Data,0,record,timestamp,"968191246",s,distance,"42.0",m,speed,"1.0",m/s,heart_rate,"188",bpm,cadence,"42",rpm,power,"150",watts,altitude,"85.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"85.0",m,Heart Rate,"188",bpm,
Data,0,record,timestamp,"968191247",s,distance,"43.0",m,speed,"1.0",m/s,heart_rate,"181",bpm,cadence,"43",rpm,power,"150",watts,altitude,"84.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"84.0",m,Heart Rate,"181",bpm,
Data,0,record,timestamp,"968191248",s,distance,"44.0",m,speed,"1.0",m/s,heart_rate,"173",bpm,cadence,"44",rpm,power,"150",watts,altitude,"83.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"83.0",m,Heart Rate,"173",bpm,
Data,0,record,timestamp,"968191249",s,distance,"45.0",m,speed,"1.0",m/s,heart_rate,"166",bpm,cadence,"45",rpm,power,"150",watts,altitude,"82.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"82.0",m,Heart Rate,"166",bpm,
Data,0,record,timestamp,"968191250",s,distance,"46.0",m,speed,"1.0",m/s,heart_rate,"158",bpm,cadence,"46",rpm,power,"150",watts,altitude,"81.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"81.0",m,Heart Rate,"158",bpm,
Data,0,record,timestamp,"968191251",s,distance,"47.0",m,speed,"1.0",m/s,heart_rate,"150",bpm,cadence,"47",rpm,power,"150",watts,altitude,"80.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"80.0",m,Heart Rate,"150",bpm,
Data,0,record,timestamp,"968191252",s,distance,"48.0",m,speed,"1.0",m/s,heart_rate,"142",bpm,cadence,"48",rpm,power,"150",watts,altitude,"79.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"79.0",m,Heart Rate,"142",bpm,
Data,0,record,timestamp,"968191253",s,distance,"49.0",m,speed,"1.0",m/s,heart_rate,"134",bpm,cadence,"49",rpm,power,"150",watts,altitude,"78.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"78.0",m,Heart Rate,"134",bpm,
Data,0,record,timestamp,"968191254",s,distance,"50.0",m,speed,"1.0",m/s,heart_rate,"126",bpm,cadence,"50",rpm,power,"150",watts,altitude,"77.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"77.0",m,Heart Rate,"126",bpm,
Data,0,record,timestamp,"968191255",s,distance,"51.0",m,speed,"1.0",m/s,heart_rate,"119",bpm,cadence,"51",rpm,power,"150",watts,altitude,"76.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"76.0",m,Heart Rate,"119",bpm,
Data,0,record,timestamp,"968191256",s,distance,"52.0",m,speed,"1.0",m/s,heart_rate,"111",bpm,cadence,"52",rpm,power,"150",watts,altitude,"75.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"75.0",m,Heart Rate,"111",bpm,
Data,0,record,timestamp,"968191257",s,distance,"53.0",m,speed,"1.0",m/s,heart_rate,"103",bpm,cadence,"53",rpm,power,"150",watts,altitude,"74.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"74.0",m,Heart Rate,"103",bpm,
Data,0,record,timestamp,"968191258",s,distance,"54.0",m,speed,"1.0",m/s,heart_rate,"95",bpm,cadence,"54",rpm,power,"150",watts,altitude,"73.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"73.0",m,Heart Rate,"95",bpm,
Data,0,record,timestamp,"968191259",s,distance,"55.0",m,speed,"1.0",m/s,heart_rate,"87",bpm,cadence,"55",rpm,power,"150",watts,altitude,"72.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"72.0",m,Heart Rate,"87",bpm,
Data,0,record,timestamp,"968191260",s,distance,"56.0",m,speed,"1.0",m/s,heart_rate,"80",bpm,cadence,"56",rpm,power,"150",watts,altitude,"71.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"71.0",m,Heart Rate,"80",bpm,
Data,0,record,timestamp,"968191261",s,distance,"57.0",m,speed,"1.0",m/s,heart_rate,"72",bpm,cadence,"57",rpm,power,"150",watts,altitude,"70.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"70.0",m,Heart Rate,"72",bpm,
Data,0,record,timestamp,"968191262",s,distance,"58.0",m,speed,"1.0",m/s,heart_rate,"65",bpm,cadence,"58",rpm,power,"150",watts,altitude,"69.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"69.0",m,Heart Rate,"65",bpm,
Data,0,record,timestamp,"968191263",s,distance,"59.0",m,speed,"1.0",m/s,heart_rate,"58",bpm,cadence,"59",rpm,power,"150",watts,altitude,"68.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"68.0",m,Heart Rate,"58",bpm,
Data,0,record,timestamp,"968191264",s,distance,"60.0",m,speed,"1.0",m/s,heart_rate,"52",bpm,cadence,"60",rpm,power,"150",watts,altitude,"67.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"67.0",m,Heart Rate,"52",bpm,
Data,0,record,timestamp,"968191265",s,distance,"61.0",m,speed,"1.0",m/s,heart_rate,"46",bpm,cadence,"61",rpm,power,"150",watts,altitude,"66.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"66.0",m,Heart Rate,"46",bpm,
Data,0,record,timestamp,"968191266",s,distance,"62.0",m,speed,"1.0",m/s,heart_rate,"40",bpm,cadence,"62",rpm,power,"150",watts,altitude,"65.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"65.0",m,Heart Rate,"40",bpm,
Data,0,record,timestamp,"968191267",s,distance,"63.0",m,speed,"1.0",m/s,heart_rate,"34",bpm,cadence,"63",rpm,power,"150",watts,altitude,"64.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"64.0",m,Heart Rate,"34",bpm,
Data,0,record,timestamp,"968191268",s,distance,"64.0",m,speed,"1.0",m/s,heart_rate,"29",bpm,cadence,"64",rpm,power,"150",watts,altitude,"63.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"63.0",m,Heart Rate,"29",bpm,
Data,0,record,timestamp,"968191269",s,distance,"65.0",m,speed,"1.0",m/s,heart_rate,"24",bpm,cadence,"65",rpm,power,"150",watts,altitude,"62.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"62.0",m,Heart Rate,"24",bpm,
Data,0,record,timestamp,"968191270",s,distance,"66.0",m,speed,"1.0",m/s,heart_rate,"19",bpm,cadence,"66",rpm,power,"150",watts,altitude,"61.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"61.0",m,Heart Rate,"19",bpm,
Data,0,record,timestamp,"968191271",s,distance,"67.0",m,speed,"1.0",m/s,heart_rate,"15",bpm,cadence,"67",rpm,power,"150",watts,altitude,"60.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"60.0",m,Heart Rate,"15",bpm,
Data,0,record,timestamp,"968191272",s,distance,"68.0",m,speed,"1.0",m/s,heart_rate,"12",bpm,cadence,"68",rpm,power,"150",watts,altitude,"59.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"59.0",m,Heart Rate,"12",bpm,
Data,0,record,timestamp,"968191273",s,distance,"69.0",m,speed,"1.0",m/s,heart_rate,"8",bpm,cadence,"69",rpm,power,"150",watts,altitude,"58.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"58.0",m,Heart Rate,"8",bpm,
Data,0,record,timestamp,"968191274",s,distance,"70.0",m,speed,"1.0",m/s,heart_rate,"6",bpm,cadence,"70",rpm,power,"150",watts,altitude,"57.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"57.0",m,Heart Rate,"6",bpm,
Data,0,record,timestamp,"968191275",s,distance,"71.0",m,speed,"1.0",m/s,heart_rate,"3",bpm,cadence,"71",rpm,power,"150",watts,altitude,"56.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"56.0",m,Heart Rate,"3",bpm,
Data,0,record,timestamp,"968191276",s,distance,"72.0",m,speed,"1.0",m/s,heart_rate,"2",bpm,cadence,"72",rpm,power,"150",watts,altitude,"55.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"55.0",m,Heart Rate,"2",bpm,
Data,0,record,timestamp,"968191277",s,distance,"73.0",m,speed,"1.0",m/s,heart_rate,"1",bpm,cadence,"73",rpm,power,"150",watts,altitude,"54.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"54.0",m,Heart Rate,"1",bpm,
Data,0,record,timestamp,"968191278",s,distance,"74.0",m,speed,"1.0",m/s,heart_rate,"0",bpm,cadence,"74",rpm,power,"150",watts,altitude,"53.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"53.0",m,Heart Rate,"0",bpm,
Data,0,record,timestamp,"968191279",s,distance,"75.0",m,speed,"1.0",m/s,heart_rate,"0",bpm,cadence,"75",rpm,power,"150",watts,altitude,"52.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"52.0",m,Heart Rate,"0",bpm,
Data,0,record,timestamp,"968191280",s,distance,"76.0",m,speed,"1.0",m/s,heart_rate,"0",bpm,cadence,"76",rpm,power,"150",watts,altitude,"51.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"51.0",m,Heart Rate,"0",bpm,
Data,0,record,timestamp,"968191281",s,distance,"77.0",m,speed,"1.0",m/s,heart_rate,"1",bpm,cadence,"77",rpm,power,"150",watts,altitude,"50.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"50.0",m,Heart Rate,"1",bpm,
Data,0,record,timestamp,"968191282",s,distance,"78.0",m,speed,"1.0",m/s,heart_rate,"2",bpm,cadence,"78",rpm,power,"150",watts,altitude,"49.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"49.0",m,Heart Rate,"2",bpm,
Data,0,record,timestamp,"968191283",s,distance,"79.0",m,speed,"1.0",m/s,heart_rate,"3",bpm,cadence,"79",rpm,power,"150",watts,altitude,"48.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"48.0",m,Heart Rate,"3",bpm,
Data,0,record,timestamp,"968191284",s,distance,"80.0",m,speed,"1.0",m/s,heart_rate,"6",bpm,cadence,"80",rpm,power,"150",watts,altitude,"47.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"47.0",m,Heart Rate,"6",bpm,
Data,0,record,timestamp,"968191285",s,distance,"81.0",m,speed,"1.0",m/s,heart_rate,"8",bpm,cadence,"81",rpm,power,"150",watts,altitude,"46.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"46.0",m,Heart Rate,"8",bpm,
Data,0,record,timestamp,"968191286",s,distance,"82.0",m,speed,"1.0",m/s,heart_rate,"12",bpm,cadence,"82",rpm,power,"150",watts,altitude,"45.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"45.0",m,Heart Rate,"12",bpm,
Data,0,record,timestamp,"968191287",s,distance,"83.0",m,speed,"1.0",m/s,heart_rate,"15",bpm,cadence,"83",rpm,power,"150",watts,altitude,"44.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"44.0",m,Heart Rate,"15",bpm,
Data,0,record,timestamp,"968191288",s,distance,"84.0",m,speed,"1.0",m/s,heart_rate,"19",bpm,cadence,"84",rpm,power,"150",watts,altitude,"43.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"43.0",m,Heart Rate,"19",bpm,
Data,0,record,timestamp,"968191289",s,distance,"85.0",m,speed,"1.0",m/s,heart_rate,"24",bpm,cadence,"85",rpm,power,"150",watts,altitude,"42.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"42.0",m,Heart Rate,"24",bpm,
Data,0,record,timestamp,"968191290",s,distance,"86.0",m,speed,"1.0",m/s,heart_rate,"29",bpm,cadence,"86",rpm,power,"150",watts,altitude,"41.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"41.0",m,Heart Rate,"29",bpm,
Data,0,record,timestamp,"968191291",s,distance,"87.0",m,speed,"1.0",m/s,heart_rate,"34",bpm,cadence,"87",rpm,power,"150",watts,altitude,"40.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"40.0",m,Heart Rate,"34",bpm,
Data,0,record,timestamp,"968191292",s,distance,"88.0",m,speed,"1.0",m/s,heart_rate,"40",bpm,cadence,"88",rpm,power,"150",watts,altitude,"39.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"39.0",m,Heart Rate,"40",bpm,
Data,0,record,timestamp,"968191293",s,distance,"89.0",m,speed,"1.0",m/s,heart_rate,"46",bpm,cadence,"89",rpm,power,"150",watts,altitude,"38.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"38.0",m,Heart Rate,"46",bpm,
Data,0,record,timestamp,"968191294",s,distance,"90.0",m,speed,"1.0",m/s,heart_rate,"52",bpm,cadence,"90",rpm,power,"150",watts,altitude,"37.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"37.0",m,Heart Rate,"52",bpm,
Data,0,record,timestamp,"968191295",s,distance,"91.0",m,speed,"1.0",m/s,heart_rate,"58",bpm,cadence,"91",rpm,power,"150",watts,altitude,"36.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"36.0",m,Heart Rate,"58",bpm,
Data,0,record,timestamp,"968191296",s,distance,"92.0",m,speed,"1.0",m/s,heart_rate,"65",bpm,cadence,"92",rpm,power,"150",watts,altitude,"35.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"35.0",m,Heart Rate,"65",bpm,
Data,0,record,timestamp,"968191297",s,distance,"93.0",m,speed,"1.0",m/s,heart_rate,"72",bpm,cadence,"93",rpm,power,"150",watts,altitude,"34.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"34.0",m,Heart Rate,"72",bpm,
Data,0,record,timestamp,"968191298",s,distance,"94.0",m,speed,"1.0",m/s,heart_rate,"80",bpm,cadence,"94",rpm,power,"150",watts,altitude,"33.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"33.0",m,Heart Rate,"80",bpm,
Data,0,record,timestamp,"968191299",s,distance,"95.0",m,speed,"1.0",m/s,heart_rate,"87",bpm,cadence,"95",rpm,power,"150",watts,altitude,"32.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"32.0",m,Heart Rate,"87",bpm,
Data,0,record,timestamp,"968191300",s,distance,"96.0",m,speed,"1.0",m/s,heart_rate,"95",bpm,cadence,"96",rpm,power,"150",watts,altitude,"31.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"31.0",m,Heart Rate,"95",bpm,
