Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,
Data,0,record,timestamp,"995749887",s,distance,"7.0",m,speed,"1.0",m/s,heart_rate,"181",bpm,cadence,"7",rpm,power,"150",watts,altitude,"120.0",m,position_lat,"0",semicircles,position_long,"750",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"120.0",m,Heart Rate,"181",bpm,
Data,0,record,timestamp,"995749888",s,distance,"8.0",m,speed,"1.0",m/s,heart_rate,"188",bpm,cadence,"8",rpm,power,"150",watts,altitude,"119.0",m,position_lat,"0",semicircles,position_long,"857",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"119.0",m,Heart Rate,"188",bpm,
Data,0,record,timestamp,"995749889",s,distance,"9.0",m,speed,"1.0",m/s,heart_rate,"195",bpm,cadence,"9",rpm,power,"150",watts,altitude,"118.0",m,position_lat,"0",semicircles,position_long,"965",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"118.0",m,Heart Rate,"195",bpm,
Data,0,record,timestamp,"995749890",s,distance,"10.0",m,speed,"1.0",m/s,heart_rate,"201",bpm,cadence,"10",rpm,power,"150",watts,altitude,"117.0",m,position_lat,"0",semicircles,position_long,"1072",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"117.0",m,Heart Rate,"201",bpm,
Data,0,record,timestamp,"995749891",s,distance,"11.0",m,speed,"1.0",m/s,heart_rate,"207",bpm,cadence,"11",rpm,power,"150",watts,altitude,"116.0",m,position_lat,"0",semicircles,position_long,"1179",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"116.0",m,Heart Rate,"207",bpm,
Data,0,record,timestamp,"995749892",s,distance,"12.0",m,speed,"1.0",m/s,heart_rate,"213",bpm,cadence,"12",rpm,power,"150",watts,altitude,"115.0",m,position_lat,"0",semicircles,position_long,"1286",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"115.0",m,Heart Rate,"213",bpm,
Data,0,record,timestamp,"995749893",s,distance,"13.0",m,speed,"1.0",m/s,heart_rate,"219",bpm,cadence,"13",rpm,power,"150",watts,altitude,"114.0",m,position_lat,"0",semicircles,position_long,"1393",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"114.0",m,Heart Rate,"219",bpm,
Data,0,record,timestamp,"995749894",s,distance,"14.0",m,speed,"1.0",m/s,heart_rate,"224",bpm,cadence,"14",rpm,power,"150",watts,altitude,"113.0",m,position_lat,"0",semicircles,position_long,"1500",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"113.0",m,Heart Rate,"224",bpm,
Data,0,record,timestamp,"995749895",s,distance,"15.0",m,speed,"1.0",m/s,heart_rate,"229",bpm,cadence,"15",rpm,power,"150",watts,altitude,"112.0",m,position_lat,"0",semicircles,position_long,"1608",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"112.0",m,Heart Rate,"229",bpm,
Data,0,record,timestamp,"995749896",s,distance,"16.0",m,speed,"1.0",m/s,heart_rate,"234",bpm,cadence,"16",rpm,power,"150",watts,altitude,"111.0",m,position_lat,"0",semicircles,position_long,"1715",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"111.0",m,Heart Rate,"234",bpm,
Data,0,record,timestamp,"995749897",s,distance,"17.0",m,speed,"1.0",m/s,heart_rate,"238",bpm,cadence,"17",rpm,power,"150",watts,altitude,"110.0",m,position_lat,"0",semicircles,position_long,"1822",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"110.0",m,Heart Rate,"238",bpm,
Data,0,record,timestamp,"995749898",s,distance,"18.0",m,speed,"1.0",m/s,heart_rate,"241",bpm,cadence,"18",rpm,power,"150",watts,altitude,"109.0",m,position_lat,"0",semicircles,position_long,"1929",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"109.0",m,Heart Rate,"241",bpm,
Data,0,record,timestamp,"995749899",s,distance,"19.0",m,speed,"1.0",m/s,heart_rate,"245",bpm,cadence,"19",rpm,power,"150",watts,altitude,"108.0",m,position_lat,"0",semicircles,position_long,"2036",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"108.0",m,Heart Rate,"245",bpm,
Data,0,record,timestamp,"995749900",s,distance,"20.0",m,speed,"1.0",m/s,heart_rate,"247",bpm,cadence,"20",rpm,power,"150",watts,altitude,"107.0",m,position_lat,"0",semicircles,position_long,"2143",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"107.0",m,Heart Rate,"247",bpm,
Data,0,record,timestamp,"995749901",s,distance,"21.0",m,speed,"1.0",m/s,heart_rate,"250",bpm,cadence,"21",rpm,power,"150",watts,altitude,"106.0",m,position_lat,"0",semicircles,position_long,"2251",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"106.0",m,Heart Rate,"250",bpm,
Data,0,record,timestamp,"995749902",s,distance,"22.0",m,speed,"1.0",m/s,heart_rate,"251",bpm,cadence,"22",rpm,power,"150",watts,altitude,"105.0",m,position_lat,"0",semicircles,position_long,"2358",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"105.0",m,Heart Rate,"251",bpm,
Data,0,record,timestamp,"995749903",s,distance,"23.0",m,speed,"1.0",m/s,heart_rate,"252",bpm,cadence,"23",rpm,power,"150",watts,altitude,"104.0",m,position_lat,"0",semicircles,position_long,"2465",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"104.0",m,Heart Rate,"252",bpm,
Data,0,record,timestamp,"995749904",s,distance,"24.0",m,speed,"1.0",m/s,heart_rate,"253",bpm,cadence,"24",rpm,power,"150",watts,altitude,"103.0",m,position_lat,"0",semicircles,position_long,"2572",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"103.0",m,Heart Rate,"253",bpm,
Data,0,record,timestamp,"995749905",s,distance,"25.0",m,speed,"1.0",m/s,heart_rate,"254",bpm,cadence,"25",rpm,power,"150",watts,altitude,"102.0",m,position_lat,"0",semicircles,position_long,"2679",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"102.0",m,Heart Rate,"254",bpm,
Data,0,record,timestamp,"995749906",s,distance,"26.0",m,speed,"1.0",m/s,heart_rate,"253",bpm,cadence,"26",rpm,power,"150",watts,altitude,"101.0",m,position_lat,"0",semicircles,position_long,"2786",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"101.0",m,Heart Rate,"253",bpm,
Data,0,record,timestamp,"995749907",s,distance,"27.0",m,speed,"1.0",m/s,heart_rate,"252",bpm,cadence,"27",rpm,power,"150",watts,altitude,"100.0",m,position_lat,"0",semicircles,position_long,"2894",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"100.0",m,Heart Rate,"252",bpm,
Data,0,record,timestamp,"995749908",s,distance,"28.0",m,speed,"1.0",m/s,heart_rate,"251",bpm,cadence,"28",rpm,power,"150",watts,altitude,"99.0",m,position_lat,"0",semicircles,position_long,"3001",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"99.0",m,Heart Rate,"251",bpm,
Data,0,record,timestamp,"995749909",s,distance,"29.0",m,speed,"1.0",m/s,heart_rate,"250",bpm,cadence,"29",rpm,power,"150",watts,altitude,"98.0",m,position_lat,"0",semicircles,position_long,"3108",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"98.0",m,Heart Rate,"250",bpm,
Data,0,record,timestamp,"995749910",s,distance,"30.0",m,speed,"1.0",m/s,heart_rate,"247",bpm,cadence,"30",rpm,power,"150",watts,altitude,"97.0",m,position_lat,"0",semicircles,position_long,"3215",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"97.0",m,Heart Rate,"247",bpm,
Data,0,record,timestamp,"995749911",s,distance,"31.0",m,speed,"1.0",m/s,heart_rate,"245",bpm,cadence,"31",rpm,power,"150",watts,altitude,"96.0",m,position_lat,"0",semicircles,position_long,"3322",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"96.0",m,Heart Rate,"245",bpm,
Data,0,record,timestamp,"995749912",s,distance,"32.0",m,speed,"1.0",m/s,heart_rate,"241",bpm,cadence,"32",rpm,power,"150",watts,altitude,"95.0",m,position_lat,"0",semicircles,position_long,"3430",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"95.0",m,Heart Rate,"241",bpm,
Data,0,record,timestamp,"995749913",s,distance,"33.0",m,speed,"1.0",m/s,heart_rate,"238",bpm,cadence,"33",rpm,power,"150",watts,altitude,"94.0",m,position_lat,"0",semicircles,position_long,"3537",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"94.0",m,Heart Rate,"238",bpm,
Data,0,record,timestamp,"995749914",s,distance,"34.0",m,speed,"1.0",m/s,heart_rate,"234",bpm,cadence,"34",rpm,power,"150",watts,altitude,"93.0",m,position_lat,"0",semicircles,position_long,"3644",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"93.0",m,Heart Rate,"234",bpm,
Data,0,record,timestamp,"995749915",s,distance,"35.0",m,speed,"1.0",m/s,heart_rate,"229",bpm,cadence,"35",rpm,power,"150",watts,altitude,"92.0",m,position_lat,"0",semicircles,position_long,"3751",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"92.0",m,Heart Rate,"229",bpm,
Data,0,record,timestamp,"995749916",s,distance,"36.0",m,speed,"1.0",m/s,heart_rate,"224",bpm,cadence,"36",rpm,power,"150",watts,altitude,"91.0",m,position_lat,"0",semicircles,position_long,"3858",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"91.0",m,Heart Rate,"224",bpm,
Data,0,record,timestamp,"995749917",s,distance,"37.0",m,speed,"1.0",m/s,heart_rate,"219",bpm,cadence,"37",rpm,power,"150",watts,altitude,"90.0",m,position_lat,"0",semicircles,position_long,"3965",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"90.0",m,Heart Rate,"219",bpm,
Data,0,record,timestamp,"995749918",s,distance,"38.0",m,speed,"1.0",m/s,heart_rate,"213",bpm,cadence,"38",rpm,power,"150",watts,altitude,"89.0",m,position_lat,"0",semicircles,position_long,"4073",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"89.0",m,Heart Rate,"213",bpm,
Data,0,record,timestamp,"995749919",s,distance,"39.0",m,speed,"1.0",m/s,heart_rate,"207",bpm,cadence,"39",rpm,power,"150",watts,altitude,"88.0",m,position_lat,"0",semicircles,position_long,"4180",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"88.0",m,Heart Rate,"207",bpm,
Data,0,record,timestamp,"995749920",s,distance,"40.0",m,speed,"1.0",m/s,heart_rate,"201",bpm,cadence,"40",rpm,power,"150",watts,altitude,"87.0",m,position_lat,"0",semicircles,position_long,"4287",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"87.0",m,Heart Rate,"201",bpm,
Data,0,record,timestamp,"995749921",s,distance,"41.0",m,speed,"1.0",m/s,heart_rate,"195",bpm,cadence,"41",rpm,power,"150",watts,altitude,"86.0",m,position_lat,"0",semicircles,position_long,"4394",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"86.0",m,Heart Rate,"195",bpm,
Data,0,record,timestamp,"995749922",s,distance,"42.0",m,speed,"1.0",m/s,heart_rate,"188",bpm,cadence,"42",rpm,power,"150",watts,altitude,"85.0",m,position_lat,"0",semicircles,position_long,"4501",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"85.0",m,Heart Rate,"188",bpm,
Data,0,record,timestamp,"995749923",s,distance,"43.0",m,speed,"1.0",m/s,heart_rate,"181",bpm,cadence,"43",rpm,power,"150",watts,altitude,"84.0",m,position_lat,"0",semicircles,position_long,"4608",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"84.0",m,Heart Rate,"181",bpm,
Data,0,record,timestamp,"995749924",s,distance,"44.0",m,speed,"1.0",m/s,heart_rate,"173",bpm,cadence,"44",rpm,power,"150",watts,altitude,"83.0",m,position_lat,"0",semicircles,position_long,"4716",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"83.0",m,Heart Rate,"173",bpm,
Data,0,record,timestamp,"995749925",s,distance,"45.0",m,speed,"1.0",m/s,heart_rate,"166",bpm,cadence,"45",rpm,power,"150",watts,altitude,"82.0",m,position_lat,"0",semicircles,position_long,"4823",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"82.0",m,Heart Rate,"166",bpm,
Data,0,record,timestamp,"995749926",s,distance,"46.0",m,speed,"1.0",m/s,heart_rate,"158",bpm,cadence,"46",rpm,power,"150",watts,altitude,"81.0",m,position_lat,"0",semicircles,position_long,"4930",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"81.0",m,Heart Rate,"158",bpm,
Data,0,record,timestamp,"995749927",s,distance,"47.0",m,speed,"1.0",m/s,heart_rate,"150",bpm,cadence,"47",rpm,power,"150",watts,altitude,"80.0",m,position_lat,"0",semicircles,position_long,"5037",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"80.0",m,Heart Rate,"150",bpm,
Data,0,record,timestamp,"995749928",s,distance,"48.0",m,speed,"1.0",m/s,heart_rate,"142",bpm,cadence,"48",rpm,power,"150",watts,altitude,"79.0",m,position_lat,"0",semicircles,position_long,"5144",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"79.0",m,Heart Rate,"142",bpm,
Data,0,record,timestamp,"995749929",s,distance,"49.0",m,speed,"1.0",m/s,heart_rate,"134",bpm,cadence,"49",rpm,power,"150",watts,altitude,"78.0",m,position_lat,"0",semicircles,position_long,"5251",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"78.0",m,Heart Rate,"134",bpm,
Data,0,record,timestamp,"995749930",s,distance,"50.0",m,speed,"1.0",m/s,heart_rate,"126",bpm,cadence,"50",rpm,power,"150",watts,altitude,"77.0",m,position_lat,"0",semicircles,position_long,"5359",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"77.0",m,Heart Rate,"126",bpm,
Data,0,record,timestamp,"995749931",s,distance,"51.0",m,speed,"1.0",m/s,heart_rate,"119",bpm,cadence,"51",rpm,power,"150",watts,altitude,"76.0",m,position_lat,"0",semicircles,position_long,"5466",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"76.0",m,Heart Rate,"119",bpm,
Data,0,record,timestamp,"995749932",s,distance,"52.0",m,speed,"1.0",m/s,heart_rate,"111",bpm,cadence,"52",rpm,power,"150",watts,altitude,"75.0",m,position_lat,"0",semicircles,position_long,"5573",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"75.0",m,Heart Rate,"111",bpm,
Data,0,record,timestamp,"995749933",s,distance,"53.0",m,speed,"1.0",m/s,heart_rate,"103",bpm,cadence,"53",rpm,power,"150",watts,altitude,"74.0",m,position_lat,"0",semicircles,position_long,"5680",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"74.0",m,Heart Rate,"103",bpm,
Data,0,record,timestamp,"995749934",s,distance,"54.0",m,speed,"1.0",m/s,heart_rate,"95",bpm,cadence,"54",rpm,power,"150",watts,altitude,"73.0",m,position_lat,"0",semicircles,position_long,"5787",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"73.0",m,Heart Rate,"95",bpm,
Data,0,record,timestamp,"995749935",s,distance,"55.0",m,speed,"1.0",m/s,heart_rate,"87",bpm,cadence,"55",rpm,power,"150",watts,altitude,"72.0",m,position_lat,"0",semicircles,position_long,"5895",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"72.0",m,Heart Rate,"87",bpm,
Data,0,record,timestamp,"995749936",s,distance,"56.0",m,speed,"1.0",m/s,heart_rate,"80",bpm,cadence,"56",rpm,power,"150",watts,altitude,"71.0",m,position_lat,"0",semicircles,position_long,"6002",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"71.0",m,Heart Rate,"80",bpm,
Data,0,record,timestamp,"995749937",s,distance,"57.0",m,speed,"1.0",m/s,heart_rate,"72",bpm,cadence,"57",rpm,power,"150",watts,altitude,"70.0",m,position_lat,"0",semicircles,position_long,"6109",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"70.0",m,Heart Rate,"72",bpm,
Data,0,record,timestamp,"995749938",s,distance,"58.0",m,speed,"1.0",m/s,heart_rate,"65",bpm,cadence,"58",rpm,power,"150",watts,altitude,"69.0",m,position_lat,"0",semicircles,position_long,"6216",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"69.0",m,Heart Rate,"65",bpm,
Data,0,record,timestamp,"995749939",s,distance,"59.0",m,speed,"1.0",m/s,heart_rate,"58",bpm,cadence,"59",rpm,power,"150",watts,altitude,"68.0",m,position_lat,"0",semicircles,position_long,"6323",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"68.0",m,Heart Rate,"58",bpm,
Data,0,record,timestamp,"995749940",s,distance,"60.0",m,speed,"1.0",m/s,heart_rate,"52",bpm,cadence,"60",rpm,power,"150",watts,altitude,"67.0",m,position_lat,"0",semicircles,position_long,"6430",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"67.0",m,Heart Rate,"52",bpm,
Data,0,record,timestamp,"995749941",s,distance,"61.0",m,speed,"1.0",m/s,heart_rate,"46",bpm,cadence,"61",rpm,power,"150",watts,altitude,"66.0",m,position_lat,"0",semicircles,position_long,"6538",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"66.0",m,Heart Rate,"46",bpm,
Data,0,record,timestamp,"995749942",s,distance,"62.0",m,speed,"1.0",m/s,heart_rate,"40",bpm,cadence,"62",rpm,power,"150",watts,altitude,"65.0",m,position_lat,"0",semicircles,position_long,"6645",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"65.0",m,Heart Rate,"40",bpm,
Data,0,record,timestamp,"995749943",s,distance,"63.0",m,speed,"1.0",m/s,heart_rate,"34",bpm,cadence,"63",rpm,power,"150",watts,altitude,"64.0",m,position_lat,"0",semicircles,position_long,"6752",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"64.0",m,Heart Rate,"34",bpm,
Data,0,record,timestamp,"995749944",s,distance,"64.0",m,speed,"1.0",m/s,heart_rate,"29",bpm,cadence,"64",rpm,power,"150",watts,altitude,"63.0",m,position_lat,"0",semicircles,position_long,"6859",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"63.0",m,Heart Rate,"29",bpm,
Data,0,record,timestamp,"995749945",s,distance,"65.0",m,speed,"1.0",m/s,heart_rate,"24",bpm,cadence,"65",rpm,power,"150",watts,altitude,"62.0",m,position_lat,"0",semicircles,position_long,"6966",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"62.0",m,Heart Rate,"24",bpm,
Data,0,record,timestamp,"995749946",s,distance,"66.0",m,speed,"1.0",m/s,heart_rate,"19",bpm,cadence,"66",rpm,power,"150",watts,altitude,"61.0",m,position_lat,"0",semicircles,position_long,"7073",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"61.0",m,Heart Rate,"19",bpm,
Data,0,record,timestamp,"995749947",s,distance,"67.0",m,speed,"1.0",m/s,heart_rate,"15",bpm,cadence,"67",rpm,power,"150",watts,altitude,"60.0",m,position_lat,"0",semicircles,position_long,"7181",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"60.0",m,Heart Rate,"15",bpm,
Data,0,record,timestamp,"995749948",s,distance,"68.0",m,speed,"1.0",m/s,heart_rate,"12",bpm,cadence,"68",rpm,power,"150",watts,altitude,"59.0",m,position_lat,"0",semicircles,position_long,"7288",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"59.0",m,Heart Rate,"12",bpm,
Data,0,record,timestamp,"995749949",s,distance,"69.0",m,speed,"1.0",m/s,heart_rate,"8",bpm,cadence,"69",rpm,power,"150",watts,altitude,"58.0",m,position_lat,"0",semicircles,position_long,"7395",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"58.0",m,Heart Rate,"8",bpm,
Data,0,record,timestamp,"995749950",s,distance,"70.0",m,speed,"1.0",m/s,heart_rate,"6",bpm,cadence,"70",rpm,power,"150",watts,altitude,"57.0",m,position_lat,"0",semicircles,position_long,"7502",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"57.0",m,Heart Rate,"6",bpm,
Data,0,record,timestamp,"995749951",s,distance,"71.0",m,speed,"1.0",m/s,heart_rate,"3",bpm,cadence,"71",rpm,power,"150",watts,altitude,"56.0",m,position_lat,"0",semicircles,position_long,"7609",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"56.0",m,Heart Rate,"3",bpm,
Data,0,record,timestamp,"995749952",s,distance,"72.0",m,speed,"1.0",m/s,heart_rate,"2",bpm,cadence,"72",rpm,power,"150",watts,altitude,"55.0",m,position_lat,"0",semicircles,position_long,"7716",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"55.0",m,Heart Rate,"2",bpm,
Data,0,record,timestamp,"995749953",s,distance,"73.0",m,speed,"1.0",m/s,heart_rate,"1",bpm,cadence,"73",rpm,power,"150",watts,altitude,"54.0",m,position_lat,"0",semicircles,position_long,"7824",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"54.0",m,Heart Rate,"1",bpm,
Data,0,record,timestamp,"995749954",s,distance,"74.0",m,speed,"1.0",m/s,heart_rate,"0",bpm,cadence,"74",rpm,power,"150",watts,altitude,"53.0",m,position_lat,"0",semicircles,position_long,"7931",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"53.0",m,Heart Rate,"0",bpm,
Data,0,record,timestamp,"995749955",s,distance,"75.0",m,speed,"1.0",m/s,heart_rate,"0",bpm,cadence,"75",rpm,power,"150",watts,altitude,"52.0",m,position_lat,"0",semicircles,position_long,"8038",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"52.0",m,Heart Rate,"0",bpm,
Data,0,record,timestamp,"995749956",s,distance,"76.0",m,speed,"1.0",m/s,heart_rate,"0",bpm,cadence,"76",rpm,power,"150",watts,altitude,"51.0",m,position_lat,"0",semicircles,position_long,"8145",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"51.0",m,Heart Rate,"0",bpm,
Data,0,record,timestamp,"995749957",s,distance,"77.0",m,speed,"1.0",m/s,heart_rate,"1",bpm,cadence,"77",rpm,power,"150",watts,altitude,"50.0",m,position_lat,"0",semicircles,position_long,"8252",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"50.0",m,Heart Rate,"1",bpm,
Data,0,record,timestamp,"995749958",s,distance,"78.0",m,speed,"1.0",m/s,heart_rate,"2",bpm,cadence,"78",rpm,power,"150",watts,altitude,"49.0",m,position_lat,"0",semicircles,position_long,"8359",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"49.0",m,Heart Rate,"2",bpm,
Data,0,record,timestamp,"995749959",s,distance,"79.0",m,speed,"1.0",m/s,heart_rate,"3",bpm,cadence,"79",rpm,power,"150",watts,altitude,"48.0",m,position_lat,"0",semicircles,position_long,"8467",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"48.0",m,Heart Rate,"3",bpm,
